Последовательность;Код работы.2;Наименование работы;Код работы.3;Наименование работы2;Код работы.4;Наименование работы3;Код работы.5;Наименование работы4
1;003;Работы нулевого цикла;014;Фундаменты;022;Монолитные ростверки;046;Армирование ростверков
1;003;Работы нулевого цикла;015;Конструкция цокольного этажа, в т.ч. приямки, крыльца, пандусы и съезды;026;Бетонирование конструкций цокольной части;054;Армирование монолитных стен и колонн подвала
1;003;Работы нулевого цикла;015;Конструкция цокольного этажа, в т.ч. приямки, крыльца, пандусы и съезды;026;Бетонирование конструкций цокольной части;056;Армирование приямков и лестниц
1;003;Работы нулевого цикла;015;Конструкция цокольного этажа, в т.ч. приямки, крыльца, пандусы и съезды;026;Бетонирование конструкций цокольной части;057;Армирование пандусов и конструкций входных групп
1;003;Работы нулевого цикла;015;Конструкция цокольного этажа, в т.ч. приямки, крыльца, пандусы и съезды;026;Бетонирование конструкций цокольной части;058;Бетонирование приямков и лестниц
1;003;Работы нулевого цикла;015;Конструкция цокольного этажа, в т.ч. приямки, крыльца, пандусы и съезды;026;Бетонирование конструкций цокольной части;059;Бетонирование пандусов и конструкций входных групп
1;003;Работы нулевого цикла;015;Конструкция цокольного этажа, в т.ч. приямки, крыльца, пандусы и съезды;026;Бетонирование конструкций цокольной части;060;Армирование монолитных перекрытий подвала
1;003;Работы нулевого цикла;015;Конструкция цокольного этажа, в т.ч. приямки, крыльца, пандусы и съезды;026;Бетонирование конструкций цокольной части;423;Армирование приямков и лестниц, пандусов и конструкций входных групп
1;003;Работы нулевого цикла;015;Конструкция цокольного этажа, в т.ч. приямки, крыльца, пандусы и съезды;026;Бетонирование конструкций цокольной части;424;Бетонирование приямков и лестниц, пандусов и конструкций входных групп
1;004;Надземная часть здания;016;Каркас монолитный;028;Устройство ж/б монолитного каркаса здания;063;Армирование монолитных стен, колонн
1;004;Надземная часть здания;016;Каркас монолитный;028;Устройство ж/б монолитного каркаса здания;065;Армирование монолитных перекрытий
1;004;Надземная часть здания;016;Каркас монолитный;029;Устройство ж/б монолитного каркаса надземного паркинга;067;Армирование стен надземного паркинга
1;004;Надземная часть здания;016;Каркас монолитный;029;Устройство ж/б монолитного каркаса надземного паркинга;069;Армирование перекрытий надземного паркинга
1;004;Надземная часть здания;016;Каркас монолитный;030;Устройство ж/б монолитных лифтовых шахт;071;Армирование шахт лифтов
1;004;Надземная часть здания;023;Кровля;053;Скатная кровля;117;Укладка выравнивающего слоя по каркасу скатной кровли (архив)
1;004;Надземная часть здания;025;Конструкции металлические;059;Конструкции металлические;439;Монтаж ограждений балконов
1;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);064;Водоснабжение и канализация;416;Магистрали инженерных систем ОВ и ВК в подвале и (или) тех.этаже
1;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);066;Вентиляция;431;Общеобменная вентиляция
1;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;070;Линейный монтаж (монтаж кабеля/провода);429;Линейный монтаж электрической сети квартир и МОП
1;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;426;Монтаж РТП
1;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;428;Монтаж щитов квартирных (ЩК)
1;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;072;Электрооборудование и оконечные устройства;432;Монтаж розеток и выключателей (арматура), светильников с/у, вмазка корпуса ЩК
1;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;075;АППЗ;417;Установка оконечного оборудования АППЗ (извещатели, релейные модули и т.п.)
1;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;090;Окраска стен МОП;419;Окраска стен административных помещений
1;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;098;Отделка технических помещений;427;Отделка РТП
1;012;ПИР;048;ПИР;146;ПИР;552;ПИР
1;013;Правоустанавливающие и стартовые документы;049;Приказ о принятии объекта в работу;147;Приказ о принятии объекта в работу;553;Приказ о принятии объекта в работу
3;013;Правоустанавливающие и стартовые документы;050;Заключение договора на земельный участок (предварительный, аренда, покупка);148;Заключение договора на земельный участок (предварительный, аренда, покупка);554;Заключение договора на земельный участок (предварительный, аренда, покупка)
5;013;Правоустанавливающие и стартовые документы;051;Выявление и определение всех ограничений земельного участка;149;Выявление и определение всех ограничений земельного участка;555;Выявление и определение всех ограничений земельного участка, составление и утверждение плана по сняти. ограничений
7;013;Правоустанавливающие и стартовые документы;052;Утверждение сводного графика работы департаментов;150;Утверждение сводного графика работы департаментов;556;Утверждение сводного графика работы департаментов
9;014;ППТ и ПМ;053;Первый этап ППТ и ПМ;151;Разработка ППТ и ПМ;557;Получение распоряжения КГА о разработке ППт и ПМ
10;001;Инженерная подготовка территории;001;Снос зеленых насаждений;001;Снос насаждений и очистка территории;612;Стк. Проверка Одноименной СМР
10;001;Инженерная подготовка территории;002;Демонтаж зданий и сооружений;002;Демонтаж зданий и сооружений;002;Демонтаж надземной части зданий
11;014;ППТ и ПМ;053;Первый этап ППТ и ПМ;151;Разработка ППТ и ПМ;558;Утверждение эскиза застройки, в том числе каркас магистральной улично-дорожной сети
12;013;Правоустанавливающие и стартовые документы;049;Приказ о принятии объекта в работу;147;Приказ о принятии объекта в работу;613;Новая работа1241253264246
